,,"Permisos Vigentes de Generación, Importación y Exportación de Energía Eléctrica",,,,,,,,,,,,,,,
,,Comisión Reguladora de Energía / Unidad de Electricidad,,,,,,,,,,,,,,,
,,Actualización: 31 de agosto de 2024,,,,,,,,,,,,,,,
Num,Permisionario,Modalidad,Fecha de Otorgamiento,Número de Permiso,Capacidad Autorizada (MW),Generación Estimada (GWh/Año),Inversion Estimada (Millones de Dólares),Fecha de Entrada en Operación,Energético Primario,Actividad Economica,Tecnología,Estado Actual,Entidad Federativa,Dirección,Empresa Líder,País de Origen,Subasta
64,"Central San Miguelito, S. A. de C. V.",AUT.,22/05/1998,E/87/AUT/98,5.2,6.69,$6.24,31/12/1991,Combustóleo y Bagazo de Caña,Azucarero,Bioenergía,En operación,Veracruz,"Domicilio Conocido, Congregación Buena Vista, C.P. 94680, Córdoba, Veracruz",Beta San Miguel,México,
65,"Industrial Azucarera San Cristóbal, S. A. de C. V.",AUT.,22/05/1998,E/88/AUT/98,24.2,38.15,$28.68,31/12/1991,Combustóleo y Bagazo de Caña,Azucarero,Bioenergía,En operación,Veracruz,"Nicolas Bravo, Núm. 5, Col. Carlos A. Carrillo, C.P. 95330, Carrillo Puerto, Veracruz","Consorcio Norteamericano del Azúcar, S. A. de C. V.",México,
66,"Ingenio Lázaro Cárdenas, S. A. de C. V.",GEN.,22/05/1998,E/91/GEN/98,8,11.63,$9.60,31/12/1991,Combustóleo y Bagazo de Caña,Azucarero,Bioenergía,En operación,Michoacán,"Casco Ex-Hacienda, s/n, Col. Centro, C.P. 61710, Taretán, Michoacán","Financiera Nacional Azucarera, S. A.",México,
67,"Azsuremex, S. A. de C. V.",AUT.,22/05/1998,E/92/AUT/98,2.5,1.95,$3.00,31/12/1991,Combustóleo y Bagazo de Caña,Azucarero,Bioenergía,En operación,Tabasco,"Km. 2 de la Carretera a la Palma, C.P. 86901, Tenosique, Tabasco","Nacional Financiera, S. N. C.",México,
68,"Altos Hornos de México, S. A. B. de C. V.",GEN.,12/06/1998,E/094/GEN/98,260.3,1500,$261.41,31/12/1991,"Gas Natural, Gas de Alto Horno, Gas de Coque y Combustóleo",Siderúrgico,Ciclo combinado,En operación,Coahuila,"Juárez s/n , Col. La Loma, C.P. 25770, Monclova, Coahuila",AHMSA,México,
69,"INEOS Styrolution Mexicana, S. A. de C. V.",COG.,26/06/1998,E/96/COG/98,10.6,88.93,$9.54,01/03/1999,Gas Natural,Químico,Turbogás,En operación,Tamaulipas,"Km. 1.8 del Boulevard de los Ríos, Parque Industrial Fondeport, C.P. 89600, Altamira, Tamaulipas",INEOS Styrolution Group GmbH,Alemania,
70,"Ingenio Tala, S. A. de C. V.",AUT.,15/07/1998,E/98/AUT/98,9,19.17,$10.80,31/12/1991,Combustóleo y Bagazo de Caña,Azucarero,Bioenergía,En operación,Jalisco,"Km. 46, de la carretera Guadalajara-Ameca-Puerto V, C.P. 45300, Tala, Jalisco","Grupo Azucarero México, S. A. de C. V.",México,
71,"GPI Mexicana, S. A. de C. V.",IMP.,22/07/1998,E/102/IMP/98,1.5,8,$0.38,06/01/1999,Importación,Importación,Importación,En operación,Sonora,"Tranformación y Dr. Samuel Ocaña, Parque Industrial, San Luis Río Colorado, Sonora",Gaming Partners International,Francia,
72,"Pemex-Exploración y Producción, Centro de Proceso Akal-C",AUT.,12/08/1998,E/103/AUT/98,27.77,140.64,$24.99,31/12/1991,Gas Natural y Diésel,Petrolero,Turbogás,En operación,Campeche,"Complejo Marino de Producción Akal-C, en la Sonda de Campeche, Cd. del Carmen, Campeche",Pemex,México,
73,"Pemex-Exploración y Producción, Complejo Marino de Producción Akal-J",AUT.,12/08/1998,E/104/AUT/98,16.93,111.26,$15.24,31/12/1991,Gas Natural y Diésel,Petrolero,Turbogás,En operación,Campeche,"Complejo Marino de Producción Akal-J, en la Sonda de Campeche, Cd. del Carmen, Campeche",Pemex,México,
74,"Pemex-Exploración y Producción, Complejo Marino de Producción Abkatun-A",AUT.,12/08/1998,E/106/AUT/98,14.52,61,$13.07,31/12/1991,Gas Dulce,Petrolero,Turbogás,En operación,Campeche,"Complejo Marino de Producción Abkatún-A, en la Sonda de Campeche, Cd. del Carmen, Campeche",Pemex,México,
75,"Pemex-Logística, Centro de Proceso y Transporte de Gas Atasta",AUT.,13/08/1998,E/107/AUT/98,8.1,21.35,$7.29,31/12/1991,Gas Natural,Petrolero,Turbogás,En operación,Campeche,"Carretera Federal 180, Km. 33, C.P. 24180, Carmen, Campeche",Pemex,México,
76,"Ingenio El Molino, S. A. de C. V.",AUT.,11/09/1998,E/108/AUT/98,10,8.7,$12.00,31/12/1991,Combustóleo y Bagazo de Caña,Azucarero,Bioenergía,En operación,Nayarit,"12 de Octubre Sur, Núm. 195, Col. Menchaca, C.P. 63150, Tepic, Nayarit",Sr. José M. Menchaca,México,
77,"Papelera Industrial Potosina, S. de R. L. de C. V.",GEN.,09/10/1998,E/113/GEN/98,6.53,35.37,$6.04,12/02/1999,Gas Natural,Papelero,Ciclo combinado,En operación,San Luis Potosí,"Eje Número 114, s/n , Col. Zona Industrial, C.P. 78090, San Luis Potosí, San Luis Potosí",Grupo Gondi,México,
78,"Cervecería Cuauhtémoc-Moctezuma, S. A. de C. V., Planta Orizaba",AUT.,16/10/1998,E/114/AUT/98,8.23,24.53,$11.74,31/12/1991,Agua y Gas Natural,Alimentos,Hidroeléctrica,En operación,Veracruz,"Sur 10 y Poniente 9 s/n, Col. Orizaba, C.P. 94300, Orizaba, Veracruz","FEMSA Cerveza, S. A. de C. V.",México,
